total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,512,15069777.40
128,95,0.0,0,20000000,512,14875262.10
128,50,0.0,0,20000000,512,13303233.10
128,0,0.0,0,20000000,512,11802367.70
128,100,0.99,0,20000000,512,14992583.70
128,95,0.99,0,20000000,512,5279101.70
128,50,0.99,0,20000000,512,1236379.60
128,0,0.99,0,20000000,512,1143535.30
128,100,1.0,0,20000000,512,14943675.50
128,95,1.0,0,20000000,512,4560811.30
128,50,1.0,0,20000000,512,1112587.30
128,0,1.0,0,20000000,512,1039023.70
128,100,1.5,0,20000000,512,8847290.10
128,95,1.5,0,20000000,512,372560.80
128,50,1.5,0,20000000,512,131927.20
128,0,1.5,0,20000000,512,126683.10
128,100,2.0,0,20000000,512,6153817.80
128,95,2.0,0,20000000,512,217033.00
128,50,2.0,0,20000000,512,81692.00
128,0,2.0,0,20000000,512,78854.30
128,100,2.5,0,20000000,512,5152369.40
128,95,2.5,0,20000000,512,168769.00
128,50,2.5,0,20000000,512,67001.70
128,0,2.5,0,20000000,512,63845.40
128,100,0.0,8,20000000,512,15719431.70
128,95,0.0,8,20000000,512,15408340.20
128,50,0.0,8,20000000,512,13532919.30
128,0,0.0,8,20000000,512,11966136.80
128,100,0.99,8,20000000,512,15636453.10
128,95,0.99,8,20000000,512,5276262.80
128,50,0.99,8,20000000,512,1244388.20
128,0,0.99,8,20000000,512,1158346.60
128,100,1.0,8,20000000,512,15630847.34
128,95,1.0,8,20000000,512,4864249.40
128,50,1.0,8,20000000,512,1178071.30
128,0,1.0,8,20000000,512,1079117.80
128,100,1.5,8,20000000,512,9140129.90
128,95,1.5,8,20000000,512,388004.20
128,50,1.5,8,20000000,512,137823.90
128,0,1.5,8,20000000,512,131071.00
128,100,2.0,8,20000000,512,6268450.50
128,95,2.0,8,20000000,512,225664.00
128,50,2.0,8,20000000,512,85423.20
128,0,2.0,8,20000000,512,81010.20
128,100,2.5,8,20000000,512,5221837.00
128,95,2.5,8,20000000,512,174328.40
128,50,2.5,8,20000000,512,69769.30
128,0,2.5,8,20000000,512,66369.90
