total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,256,7027160.60
128,95,0.0,0,20000000,256,7036475.70
128,50,0.0,0,20000000,256,6943624.40
128,0,0.0,0,20000000,256,6736494.89
128,100,0.99,0,20000000,256,6816598.80
128,95,0.99,0,20000000,256,1427658.00
128,50,0.99,0,20000000,256,347260.30
128,0,0.99,0,20000000,256,334158.30
128,100,1.0,0,20000000,256,6766861.30
128,95,1.0,0,20000000,256,1248086.10
128,50,1.0,0,20000000,256,316879.10
128,0,1.0,0,20000000,256,300731.10
128,100,1.5,0,20000000,256,2583313.90
128,95,1.5,0,20000000,256,114962.50
128,50,1.5,0,20000000,256,38773.80
128,0,1.5,0,20000000,256,36644.20
128,100,2.0,0,20000000,256,1681860.60
128,95,2.0,0,20000000,256,67672.40
128,50,2.0,0,20000000,256,24357.70
128,0,2.0,0,20000000,256,22790.20
128,100,2.5,0,20000000,256,1377312.00
128,95,2.5,0,20000000,256,52588.90
128,50,2.5,0,20000000,256,19810.40
128,0,2.5,0,20000000,256,18454.00
128,100,0.0,8,20000000,256,15440773.90
128,95,0.0,8,20000000,256,15432220.70
128,50,0.0,8,20000000,256,14543449.30
128,0,0.0,8,20000000,256,13220273.20
128,100,0.99,8,20000000,256,14544317.80
128,95,0.99,8,20000000,256,1412036.40
128,50,0.99,8,20000000,256,339349.40
128,0,0.99,8,20000000,256,323982.10
128,100,1.0,8,20000000,256,14272035.50
128,95,1.0,8,20000000,256,1245069.60
128,50,1.0,8,20000000,256,307354.10
128,0,1.0,8,20000000,256,290740.60
128,100,1.5,8,20000000,256,2680166.90
128,95,1.5,8,20000000,256,112419.40
128,50,1.5,8,20000000,256,37393.30
128,0,1.5,8,20000000,256,35069.00
128,100,2.0,8,20000000,256,1688649.50
128,95,2.0,8,20000000,256,65566.50
128,50,2.0,8,20000000,256,23479.40
128,0,2.0,8,20000000,256,21842.30
128,100,2.5,8,20000000,256,1377554.40
128,95,2.5,8,20000000,256,51555.50
128,50,2.5,8,20000000,256,19178.90
128,0,2.5,8,20000000,256,17684.30
