size,num_locks,threads,bench,throughput
256,2000,1,pessimistic_batch_32,0.20479039999999998
256,2000,2,pessimistic_batch_32,0.40616640000000004
256,2000,4,pessimistic_batch_32,0.8164992
256,2000,8,pessimistic_batch_32,1.6292224
256,2000,16,pessimistic_batch_32,3.1365407999999997
256,2000,1,broken_batch_1,0.1106765
256,2000,2,broken_batch_1,0.2197434
256,2000,4,broken_batch_1,0.4379836
256,2000,8,broken_batch_1,0.8717587
256,2000,16,broken_batch_1,1.6723867
256,2000,1,broken_batch_32,1.2974816
256,2000,2,broken_batch_32,2.5682976
256,2000,4,broken_batch_32,4.995638400000001
256,2000,8,broken_batch_32,9.376595199999999
256,2000,16,broken_batch_32,16.895904
256,2000,1,rc_batch_32,1.487456
256,2000,2,rc_batch_32,2.9419232
256,2000,4,rc_batch_32,5.662928
256,2000,8,rc_batch_32,10.534307199999999
256,2000,16,rc_batch_32,18.7093952
256,2000,1,rcopt_batch_32,2.0971072
256,2000,2,rcopt_batch_32,4.1154176
256,2000,4,rcopt_batch_32,7.86288
256,2000,8,rcopt_batch_32,14.577843199999998
256,2000,16,rcopt_batch_32,21.2271872
256,2000,1,farm_fixed_nomemcpy_batch_1,0.20686220000000002
256,2000,2,farm_fixed_nomemcpy_batch_1,0.4107889
256,2000,4,farm_fixed_nomemcpy_batch_1,0.8202697
256,2000,8,farm_fixed_nomemcpy_batch_1,1.6323754
256,2000,16,farm_fixed_nomemcpy_batch_1,3.137573
256,2000,1,farm_fixed_nomemcpy_batch_32,2.4128127999999998
256,2000,2,farm_fixed_nomemcpy_batch_32,4.7682208
256,2000,4,farm_fixed_nomemcpy_batch_32,9.2795136
256,2000,8,farm_fixed_nomemcpy_batch_32,17.3068864
256,2000,16,farm_fixed_nomemcpy_batch_32,29.6504864
256,2000,1,farm_fixed_memcpy_batch_1,0.20652679999999998
256,2000,2,farm_fixed_memcpy_batch_1,0.40155
256,2000,4,farm_fixed_memcpy_batch_1,0.7996468000000001
256,2000,8,farm_fixed_memcpy_batch_1,1.5933641
256,2000,16,farm_fixed_memcpy_batch_1,3.0500274
256,2000,1,farm_fixed_memcpy_batch_32,2.3498943999999997
256,2000,2,farm_fixed_memcpy_batch_32,4.584576
256,2000,4,farm_fixed_memcpy_batch_32,8.6723584
256,2000,8,farm_fixed_memcpy_batch_32,12.109888
256,2000,16,farm_fixed_memcpy_batch_32,11.7280256
512,2000,1,pessimistic_batch_1,0.1831547
512,2000,2,pessimistic_batch_1,0.3631056
512,2000,4,pessimistic_batch_1,0.7242839
512,2000,8,pessimistic_batch_1,1.4524439
512,2000,16,pessimistic_batch_1,2.8066798
512,2000,1,pessimistic_batch_32,0.2008768
512,2000,2,pessimistic_batch_32,0.3982912
512,2000,4,pessimistic_batch_32,0.7965376
512,2000,8,pessimistic_batch_32,1.5864256
512,2000,16,pessimistic_batch_32,3.0353696
512,2000,1,broken_batch_1,0.1092867
512,2000,2,broken_batch_1,0.2168775
512,2000,4,broken_batch_1,0.4326576
512,2000,8,broken_batch_1,0.8605324
512,2000,16,broken_batch_1,1.6471213999999998
512,2000,1,broken_batch_32,1.2740448
512,2000,2,broken_batch_32,2.5121887999999997
512,2000,4,broken_batch_32,4.8377408
512,2000,8,broken_batch_32,8.8863776
512,2000,16,broken_batch_32,14.851152
512,2000,1,rc_batch_32,1.4629151999999999
512,2000,2,rc_batch_32,2.8739616
512,2000,4,rc_batch_32,5.4528544000000005
512,2000,8,rc_batch_32,9.8354112
512,2000,16,rc_batch_32,14.146787199999999
512,2000,1,rcopt_batch_32,2.0835711999999997
512,2000,2,rcopt_batch_32,4.0312
512,2000,4,rcopt_batch_32,7.554256
512,2000,8,rcopt_batch_32,12.102582400000001
512,2000,16,rcopt_batch_32,15.158924800000001
512,2000,1,farm_fixed_nomemcpy_batch_1,0.2013941
512,2000,2,farm_fixed_nomemcpy_batch_1,0.39970609999999995
512,2000,4,farm_fixed_nomemcpy_batch_1,0.7981091
512,2000,8,farm_fixed_nomemcpy_batch_1,1.6094673000000002
512,2000,16,farm_fixed_nomemcpy_batch_1,3.0517639
512,2000,1,farm_fixed_nomemcpy_batch_32,2.2868736000000003
512,2000,2,farm_fixed_nomemcpy_batch_32,4.4943776
512,2000,4,farm_fixed_nomemcpy_batch_32,8.644944
512,2000,8,farm_fixed_nomemcpy_batch_32,15.671753599999999
512,2000,16,farm_fixed_nomemcpy_batch_32,20.833305600000003
512,2000,1,farm_fixed_memcpy_batch_1,0.20026829999999998
512,2000,2,farm_fixed_memcpy_batch_1,0.40397059999999996
512,2000,4,farm_fixed_memcpy_batch_1,0.7585368
512,2000,8,farm_fixed_memcpy_batch_1,1.5126763
512,2000,16,farm_fixed_memcpy_batch_1,2.9005845
512,2000,1,farm_fixed_memcpy_batch_32,2.1749536000000003
512,2000,2,farm_fixed_memcpy_batch_32,4.1691552000000005
512,2000,4,farm_fixed_memcpy_batch_32,7.3914016
512,2000,8,farm_fixed_memcpy_batch_32,9.20032
512,2000,16,farm_fixed_memcpy_batch_32,7.8408224
1024,2000,1,pessimistic_batch_1,0.1789323
1024,2000,2,pessimistic_batch_1,0.3528249
1024,2000,4,pessimistic_batch_1,0.7035155
1024,2000,8,pessimistic_batch_1,1.4073738
1024,2000,16,pessimistic_batch_1,2.7149424
1024,2000,1,pessimistic_batch_32,0.19483520000000001
1024,2000,2,pessimistic_batch_32,0.384752
1024,2000,4,pessimistic_batch_32,0.7681631999999999
1024,2000,8,pessimistic_batch_32,1.5343328
1024,2000,16,pessimistic_batch_32,2.9356768
1024,2000,1,broken_batch_1,0.1076573
1024,2000,2,broken_batch_1,0.2136896
1024,2000,4,broken_batch_1,0.426417
1024,2000,8,broken_batch_1,0.8482541
1024,2000,16,broken_batch_1,1.6227733999999998
1024,2000,1,broken_batch_32,1.2384864
1024,2000,2,broken_batch_32,2.4077216
1024,2000,4,broken_batch_32,4.5650336
1024,2000,8,broken_batch_32,7.889865599999999
1024,2000,16,broken_batch_32,9.483827199999999
1024,2000,1,rc_batch_32,1.4218048
1024,2000,2,rc_batch_32,2.764208
1024,2000,4,rc_batch_32,5.1126688
1024,2000,8,rc_batch_32,7.4740096
1024,2000,16,rc_batch_32,9.0562208
1024,2000,1,rcopt_batch_32,2.0539648
1024,2000,2,rcopt_batch_32,3.9078336
1024,2000,4,rcopt_batch_32,6.6391072
1024,2000,8,rcopt_batch_32,8.0352448
1024,2000,16,rcopt_batch_32,8.9863296
1024,2000,1,farm_fixed_nomemcpy_batch_1,0.19495310000000002
1024,2000,2,farm_fixed_nomemcpy_batch_1,0.3880794
1024,2000,4,farm_fixed_nomemcpy_batch_1,0.7727986
1024,2000,8,farm_fixed_nomemcpy_batch_1,1.5403381
1024,2000,16,farm_fixed_nomemcpy_batch_1,2.9583191
1024,2000,1,farm_fixed_nomemcpy_batch_32,2.0992224
1024,2000,2,farm_fixed_nomemcpy_batch_32,4.0462976
1024,2000,4,farm_fixed_nomemcpy_batch_32,7.490704
1024,2000,8,farm_fixed_nomemcpy_batch_32,11.2231296
1024,2000,16,farm_fixed_nomemcpy_batch_32,11.222976
1024,2000,1,farm_fixed_memcpy_batch_1,0.19195410000000002
1024,2000,2,farm_fixed_memcpy_batch_1,0.36971990000000005
1024,2000,4,farm_fixed_memcpy_batch_1,0.7298873
1024,2000,8,farm_fixed_memcpy_batch_1,1.4263681000000001
1024,2000,16,farm_fixed_memcpy_batch_1,2.6773347999999997
1024,2000,1,farm_fixed_memcpy_batch_32,1.9250656000000002
1024,2000,2,farm_fixed_memcpy_batch_32,3.2789664
1024,2000,4,farm_fixed_memcpy_batch_32,4.248256
1024,2000,8,farm_fixed_memcpy_batch_32,5.5836032
1024,2000,16,farm_fixed_memcpy_batch_32,6.7897696
2048,2000,1,pessimistic_batch_1,0.1714509
2048,2000,2,pessimistic_batch_1,0.33993229999999997
2048,2000,4,pessimistic_batch_1,0.6786416
2048,2000,8,pessimistic_batch_1,1.3512195
2048,2000,16,pessimistic_batch_1,2.5507537
2048,2000,1,pessimistic_batch_32,0.1871776
2048,2000,2,pessimistic_batch_32,0.3694048
2048,2000,4,pessimistic_batch_32,0.7349152
2048,2000,8,pessimistic_batch_32,1.4543712
2048,2000,16,pessimistic_batch_32,2.7150976
2048,2000,1,broken_batch_1,0.10483239999999999
2048,2000,2,broken_batch_1,0.2190275
2048,2000,4,broken_batch_1,0.4158985
2048,2000,8,broken_batch_1,0.82755
2048,2000,16,broken_batch_1,1.561697
2048,2000,1,broken_batch_32,1.1732672
2048,2000,2,broken_batch_32,2.2539552
2048,2000,4,broken_batch_32,3.9310624
2048,2000,8,broken_batch_32,5.195846400000001
2048,2000,16,broken_batch_32,5.367225599999999
2048,2000,1,rc_batch_32,1.3477728
2048,2000,2,rc_batch_32,2.5827424
2048,2000,4,rc_batch_32,3.8784416
2048,2000,8,rc_batch_32,4.6095808
2048,2000,16,rc_batch_32,5.2096127999999995
2048,2000,1,rcopt_batch_32,1.955424
2048,2000,2,rcopt_batch_32,3.6374847999999997
2048,2000,4,rcopt_batch_32,4.2988767999999995
2048,2000,8,rcopt_batch_32,4.7982976
