size,num_locks,threads,bench,throughput
4096,2000,16,rc,2.9131928
4096,2000,1,rcopt,1.1448161000000001
4096,2000,2,rcopt,2.200608
4096,2000,4,rcopt,2.8977578
4096,2000,8,rcopt,2.9143798999999997
4096,2000,16,rcopt,2.9119012
8192,2000,1,pessimistic,0.1591776
8192,2000,2,pessimistic,0.3177566
8192,2000,4,pessimistic,0.620064
8192,2000,8,pessimistic,1.1556263999999998
8192,2000,16,pessimistic,1.4570135
8192,2000,1,broken,0.0954116
8192,2000,2,broken,0.1896304
8192,2000,4,broken,0.37730779999999997
8192,2000,8,broken,0.7065561
8192,2000,16,broken,1.1614124
8192,2000,1,rc,1.0174065
8192,2000,2,rc,1.3345103999999999
8192,2000,4,rc,1.4735636
8192,2000,8,rc,1.4735356000000002
8192,2000,16,rc,1.4736791
8192,2000,1,rcopt,1.094933
8192,2000,2,rcopt,1.4699535
8192,2000,4,rcopt,1.4735871
8192,2000,8,rcopt,1.473517
8192,2000,16,rcopt,1.4734543
64,2000,1,pessimistic_b1,0.1901415
64,2000,2,pessimistic_b1,0.3761555
64,2000,4,pessimistic_b1,0.750124
64,2000,8,pessimistic_b1,1.5009268999999998
64,2000,16,pessimistic_b1,2.9072255
128,2000,1,pessimistic_b1,0.1858289
128,2000,2,pessimistic_b1,0.3684232
128,2000,4,pessimistic_b1,0.7340789
128,2000,8,pessimistic_b1,1.4679288000000001
128,2000,16,pessimistic_b1,2.8535483
256,2000,1,pessimistic_b1,0.183426
256,2000,2,pessimistic_b1,0.36395459999999996
256,2000,4,pessimistic_b1,0.7242298
256,2000,8,pessimistic_b1,1.447202
256,2000,16,pessimistic_b1,2.7939792000000003
512,2000,1,pessimistic_b1,0.1796364
512,2000,2,pessimistic_b1,0.35635209999999995
512,2000,4,pessimistic_b1,0.7088715999999999
512,2000,8,pessimistic_b1,1.4146314
512,2000,16,pessimistic_b1,2.7241731000000002
1024,2000,1,pessimistic_b1,0.1754617
1024,2000,2,pessimistic_b1,0.3467335
1024,2000,4,pessimistic_b1,0.7031312
1024,2000,8,pessimistic_b1,1.3679921000000002
1024,2000,16,pessimistic_b1,2.6286554
2048,2000,1,pessimistic_b1,0.1685833
2048,2000,2,pessimistic_b1,0.3686223
2048,2000,4,pessimistic_b1,0.6651678000000001
2048,2000,8,pessimistic_b1,1.3124243
2048,2000,16,pessimistic_b1,2.481362
4096,2000,1,pessimistic_b1,0.1566873
4096,2000,2,pessimistic_b1,0.3125128
4096,2000,4,pessimistic_b1,0.618993
4096,2000,8,pessimistic_b1,1.2078636
4096,2000,16,pessimistic_b1,2.2032491000000003
8192,2000,1,pessimistic_b1,0.144936
8192,2000,2,pessimistic_b1,0.2895514
8192,2000,4,pessimistic_b1,0.5707286
8192,2000,8,pessimistic_b1,1.0801806
8192,2000,16,pessimistic_b1,1.4574874
